family	group	sample	library	c	rank	taxon_classified	taxon_total	taxon_precision	taxon_recall	read_classified	read_total	read_tp	read_fp	read_vp	read_fn	read_ppv	read_sensitivity	read_recall	read_index	read_softIndex	read_tp_frac	read_vp_frac	read_fp_frac	read_fn_frac	read_classified_frac
cami2	marine	S0	kraken2	0.15	Genus	205	194	0.853658536585366	0.902061855670103	13059133	14197078	12789012	100476	169645	1137945	0.992204810617769	0.900820013808475	0.918291914019696	0.826267207942367	0.104886019503451	0.900820013808475	0.0119492898468262	0.0070772309625966	0.0801534653821018	0.919846534617898
cami2	marine	S0	kraken2	0.15	Species	415	259	0.563855421686747	0.903474903474903	13059133	14197078	11189499	432184	1437450	1137945	0.962812270821705	0.788155069655883	0.907690109969269	1.12584836119094	0.404467172752027	0.788155069655883	0.101249707862421	0.0304417570995947	0.0801534653821018	0.919846534617898
cami2	marine	S1	kraken2	0.15	Genus	228	221	0.87719298245614	0.904977375565611	13657375	14727197	13421090	34254	202031	1069822	0.997454245688553	0.911313266197227	0.926172900642831	0.722854118132595	0.0690706452830094	0.911313266197227	0.0137182248597611	0.0023259008486136	0.0726426080943984	0.927357391905602
cami2	marine	S1	kraken2	0.15	Species	479	303	0.569937369519833	0.900990099009901	13657375	14727197	11438661	308668	1910046	1069822	0.973724410033975	0.776703197492367	0.914472282530184	1.00652934838856	0.352745875538978	0.776703197492367	0.129695148370732	0.0209590460425021	0.0726426080943984	0.927357391905602
cami2	marine	S2	kraken2	0.15	Genus	223	213	0.856502242152466	0.896713615023474	13249861	14261663	12929602	94926	225333	1011802	0.9927117512435	0.906598480135171	0.927424669710454	0.748784626309008	0.110274376838102	0.906598480135171	0.0157999105714389	0.006656026018845	0.0709455832745451	0.929054416725455
cami2	marine	S2	kraken2	0.15	Species	440	277	0.568181818181818	0.902527075812274	13249861	14261663	11241368	280020	1728473	1011802	0.975695636671554	0.788222804030638	0.917425286680916	0.970987745258039	0.332477495787133	0.788222804030638	0.121197156320409	0.0196344563744073	0.0709455832745451	0.929054416725455
cami2	marine	S3	kraken2	0.15	Genus	264	256	0.878787878787879	0.90625	12921319	14062333	12600764	94701	225854	1141014	0.992540564681955	0.896064970158223	0.916967513228638	0.842132098564299	0.111874466349218	0.896064970158223	0.0160609196212321	0.0067343733077576	0.0811397369127868	0.918860263087213
cami2	marine	S3	kraken2	0.15	Species	564	384	0.609929078014184	0.895833333333333	12921319	14062333	10946673	321975	1652671	1141014	0.971427362004741	0.778439324399444	0.905605265920602	1.08905293310861	0.358795300893529	0.778439324399444	0.117524666781821	0.022896271905949	0.0811397369127868	0.918860263087213
cami2	marine	S4	kraken2	0.15	Genus	216	205	0.837962962962963	0.882926829268293	12285688	13427791	11996649	65126	223913	1142103	0.994600628846086	0.893419401597776	0.913073707457147	0.867360163708238	0.101863664693619	0.893419401597776	0.0166753414616	0.0048500903834443	0.0850551665571798	0.91494483344282
cami2	marine	S4	kraken2	0.15	Species	440	280	0.554545454545455	0.871428571428571	12285688	13427791	9911068	248572	2126048	1142103	0.975533385041202	0.738101151559478	0.896671914331191	1.13197174427275	0.366475245258137	0.738101151559478	0.15833192518412	0.0185117566992217	0.0850551665571798	0.91494483344282
cami2	marine	S5	kraken2	0.15	Genus	242	234	0.871900826446281	0.901709401709402	13081856	14096800	12811560	71598	198698	1014944	0.994442511688516	0.908827535327166	0.926594314802932	0.74134193575847	0.0933582798933098	0.908827535327166	0.0140952556608592	0.0050790250269564	0.0719981839850178	0.928001816014982
cami2	marine	S5	kraken2	0.15	Species	487	334	0.607802874743327	0.88622754491018	13081856	14096800	10974035	306587	1801234	1014944	0.9728218000745	0.778477030248	0.915343583469451	1.00504979853584	0.357066142670678	0.778477030248	0.127776091027751	0.0217486947392316	0.0719981839850178	0.928001816014982
cami2	marine	S6	kraken2	0.15	Genus	239	230	0.874476987447699	0.908695652173913	13053814	14309326	12690626	93508	269680	1255512	0.992685621098778	0.886877970353041	0.909974216517863	0.906467222844738	0.116799840886986	0.886877970353041	0.0188464502101636	0.0065347592192672	0.087740820217528	0.912259179782472
cami2	marine	S6	kraken2	0.15	Species	479	329	0.605427974947808	0.88145896656535	13053814	14309326	10579164	377582	2097068	1255512	0.965538856153095	0.739319517914401	0.893912431569736	1.21284461616152	0.423177234203764	0.739319517914401	0.146552535039037	0.0263871268290344	0.087740820217528	0.912259179782472
cami2	marine	S7	kraken2	0.15	Genus	220	208	0.85	0.899038461538462	12966580	14021883	12681017	82726	202837	1055303	0.993518672383172	0.904373328460949	0.923174256278246	0.779103562624221	0.101753238134993	0.904373328460949	0.0144657461483596	0.0058997782252212	0.0752611471654698	0.92473885283453
cami2	marine	S7	kraken2	0.15	Species	439	285	0.574031890660592	0.884210526315789	12966580	14021883	10826479	280813	1859288	1055303	0.974718140119122	0.772113060706611	0.911183103679229	1.02437974985243	0.347029425363199	0.772113060706611	0.132599023968464	0.0200267681594547	0.0752611471654698	0.92473885283453
