classifier,In taxon,Group,ratio,dataset
rspc_gold,763190,C,0.0012442956887282856,strain
rspc_gold,1452156,D,0.002367577471089653,strain
rspc_gold,35251648,F,0.0574738579213133,strain
rspc_gold,138226266,G,0.2253624220086862,strain
rspc_gold,492854,O,0.0008035431640515344,strain
rspc_gold,0,P,0.0,strain
rspc_gold,0,R,0.0,strain
rspc_gold,430881356,S,0.7025037194200627,strain
rspc_gold,6283526,U,0.010244584326068331,strain
rspc_R100,4032374,C,0.006574333499574198,strain
rspc_R100,5040674,D,0.008218253549554846,strain
rspc_R100,201666983,F,0.3287953949943533,strain
rspc_R100,260395336,G,0.4245453870592557,strain
rspc_R100,10285223,O,0.01676890241815145,strain
rspc_R100,139003,P,0.00022662879967019731,strain
rspc_R100,0,R,0.0,strain
rspc_R100,130223723,S,0.21231517328456412,strain
rspc_R100,1567680,U,0.0025559263948761895,strain
rspc_R10,6510754,C,0.010615054092127046,strain
rspc_R10,5821201,D,0.009490815272108892,strain
rspc_R10,203675887,F,0.3320706876295673,strain
rspc_R10,303727531,G,0.4951936704770591,strain
rspc_R10,0,K,0.0,strain
rspc_R10,10545079,O,0.017192568478359493,strain
rspc_R10,402308,P,0.0006559180675073038,strain
rspc_R10,465146,R,0.0007583683780306439,strain
rspc_R10,80711312,S,0.1315907409075113,strain
rspc_R10,1491778,U,0.002432176697728881,strain
rspc_R1,12620188,C,0.0205758009399238,strain
rspc_R1,13278091,D,0.02164843798509133,strain
rspc_R1,203233868,F,0.33135002523090384,strain
rspc_R1,325048522,G,0.5299551547479675,strain
rspc_R1,0,K,0.0,strain
rspc_R1,11552101,O,0.018834404892692145,strain
rspc_R1,1774369,P,0.002892909625274335,strain
rspc_R1,1207333,R,0.0019684210311447835,strain
rspc_R1,43183218,S,0.07040539312990697,strain
rspc_R1,1453306,U,0.0023694524170952843,strain
rspc_1-step,25293923,C,0.041238904257033276,strain
rspc_1-step,39049477,D,0.06366579210706948,strain
rspc_1-step,175601630,F,0.2862987606528644,strain
rspc_1-step,300765536,G,0.4903644698736252,strain
rspc_1-step,771,K,1.2570290176882667e-06,strain
rspc_1-step,20972610,O,0.034193488127962544,strain
rspc_1-step,8144718,P,0.013279049113992145,strain
rspc_1-step,8485622,R,0.01383485484712574,strain
rspc_1-step,33856075,S,0.05519853268486418,strain
rspc_1-step,1180634,U,0.0019248913064453554,strain
std_gold,601997,C,0.0009814885830885648,strain
std_gold,491119,D,0.000800714441164778,strain
std_gold,34528079,F,0.056294159828836406,strain
std_gold,57741043,G,0.09414029385549412,strain
std_gold,135115,O,0.00022028985178333354,strain
std_gold,0,P,0.0,strain
std_gold,0,R,0.0,strain
std_gold,504297151,S,0.8221999381900409,strain
std_gold,15556492,U,0.025363115249591933,strain
std_R100,461650,C,0.0007526685421735258,strain
std_R100,587006,D,0.0009570474391142914,strain
std_R100,203082688,F,0.33110354319861574,strain
std_R100,176784566,G,0.2882274051120967,strain
std_R100,0,K,0.0,strain
std_R100,7965223,O,0.012986402650269764,strain
std_R100,223829,P,0.0003649280778212024,strain
std_R100,563937,R,0.0009194360222413334,strain
std_R100,217794337,S,0.3550892367019161,strain
std_R100,5887760,U,0.009599332255751322,strain
std_R10,2869310,C,0.0046780881073192225,strain
std_R10,804832,D,0.0013121882987861,strain
std_R10,201753535,F,0.3289365083219006,strain
std_R10,213917752,G,0.348768899692143,strain
std_R10,0,K,0.0,strain
std_R10,7840008,O,0.012782253638013169,strain
std_R10,241440,P,0.00039364083791265257,strain
std_R10,967048,R,0.0015766632911769168,strain
std_R10,179104505,S,0.2920098054263207,strain
std_R10,5852566,U,0.00954195238642769,strain
std_R1,3742853,C,0.0061023019843600285,strain
std_R1,1162744,D,0.001895723668149061,strain
std_R1,200727770,F,0.3272641135484518,strain
std_R1,216668837,G,0.3532542351981442,strain
std_R1,0,K,0.0,strain
std_R1,8841860,O,0.014415660947259634,strain
std_R1,542286,P,0.00088413649531271,strain
std_R1,1538625,R,0.0025085554764469643,strain
std_R1,174299476,S,0.28417574461719797,strain
std_R1,5826545,U,0.009499528064677668,strain
std_1-step,5630217,C,0.009179437282596343,strain
