classifier,In taxon,Group,ratio,dataset
rspc_1-step,25293923,C,0.041238904257033276,strain
rspc_1-step,39049477,D,0.06366579210706948,strain
rspc_1-step,175601630,F,0.2862987606528644,strain
rspc_1-step,300765536,G,0.4903644698736252,strain
rspc_1-step,771,K,1.2570290176882667e-06,strain
rspc_1-step,20972610,O,0.034193488127962544,strain
rspc_1-step,8144718,P,0.013279049113992145,strain
rspc_1-step,8485622,R,0.01383485484712574,strain
rspc_1-step,33856075,S,0.05519853268486418,strain
rspc_1-step,1180634,U,0.0019248913064453554,strain
rspc_R100,4032374,C,0.006574333499574198,strain
rspc_R100,5040674,D,0.008218253549554846,strain
rspc_R100,201666983,F,0.3287953949943533,strain
rspc_R100,260395336,G,0.4245453870592557,strain
rspc_R100,10285223,O,0.01676890241815145,strain
rspc_R100,139003,P,0.00022662879967019731,strain
rspc_R100,0,R,0.0,strain
rspc_R100,130223723,S,0.21231517328456412,strain
rspc_R100,1567680,U,0.0025559263948761895,strain
std_1-step,5630217,C,0.009179437282596343,strain
std_1-step,2340901,D,0.0038165765039370704,strain
std_1-step,196200710,F,0.3198832500143197,strain
std_1-step,240511011,G,0.39212622555193505,strain
std_1-step,0,K,0.0,strain
std_1-step,11089589,O,0.018080330956208313,strain
std_1-step,1741867,P,0.0028399187599917096,strain
std_1-step,8342008,R,0.013600708329166877,strain
std_1-step,141778325,S,0.23115365577722155,strain
std_1-step,5716368,U,0.0093198968246234,strain
std_R100,461650,C,0.0007526685421735258,strain
std_R100,587006,D,0.0009570474391142914,strain
std_R100,203082688,F,0.33110354319861574,strain
std_R100,176784566,G,0.2882274051120967,strain
std_R100,0,K,0.0,strain
std_R100,7965223,O,0.012986402650269764,strain
std_R100,223829,P,0.0003649280778212024,strain
std_R100,563937,R,0.0009194360222413334,strain
std_R100,217794337,S,0.3550892367019161,strain
std_R100,5887760,U,0.009599332255751322,strain
rspc_1-step,940793,C,0.00668596238777051,marine
rspc_1-step,455103,D,0.00323429440967516,marine
rspc_1-step,2146780,F,0.015256587086445134,marine
rspc_1-step,38192460,G,0.27142352361936123,marine
rspc_1-step,5608,K,3.985454512375945e-05,marine
rspc_1-step,395361,O,0.0028097241110332846,marine
rspc_1-step,263750,P,0.0018744001919385796,marine
rspc_1-step,277675,R,0.001973361415342351,marine
rspc_1-step,92750116,S,0.6591500861904286,marine
rspc_1-step,5284034,U,0.037552206042881446,marine
rspc_R100,338757,C,0.002407454732968862,marine
rspc_R100,89955,D,0.0006392859498230709,marine
rspc_R100,1205136,F,0.008564576870946321,marine
rspc_R100,21351572,G,0.15173986978195414,marine
rspc_R100,0,K,0.0,marine
rspc_R100,95163,O,0.0006762978027126106,marine
rspc_R100,38928,P,0.00027665080823425603,marine
rspc_R100,1910,R,1.3573855418398813e-05,marine
rspc_R100,111602937,S,0.7931320058150112,marine
rspc_R100,5987322,U,0.04255028438293111,marine
std_1-step,624863,C,0.004440732993877978,marine
std_1-step,188638,D,0.0013405994441968144,marine
std_1-step,1147132,F,0.00815235807006213,marine
std_1-step,16532683,G,0.11749332393728794,marine
std_1-step,0,K,0.0,marine
std_1-step,202155,O,0.0014366611215216817,marine
std_1-step,119858,P,0.0008517985145227461,marine
std_1-step,21939,R,0.0001559145623163621,marine
std_1-step,111109648,S,0.7896263337911963,marine
std_1-step,10764764,U,0.07650227756501805,marine
std_R100,377981,C,0.002686209133456441,marine
std_R100,38768,D,0.0002755137313405682,marine
std_R100,877334,F,0.006234976371542149,marine
std_R100,9593541,G,0.06817871124841947,marine
std_R100,0,K,0.0,marine
std_R100,70030,O,0.0004976843429060047,marine
std_R100,35594,P,0.00025295696846203527,marine
std_R100,6637,R,4.716737089628949e-05,marine
std_R100,118552607,S,0.8425214381634843,marine
std_R100,11159188,U,0.07930534266949268,marine
rspc_1-step,4916780,C,0.01930246592085882,plant_associated
rspc_1-step,1140426,D,0.004477124052786853,plant_associated
rspc_1-step,4680938,F,0.018376589195093752,plant_associated
rspc_1-step,143157157,G,0.5620113457017674,plant_associated
rspc_1-step,82981,K,0.0003257696957315125,plant_associated
rspc_1-step,2431076,O,0.009544002709297098,plant_associated
rspc_1-step,950033,P,0.003729672591857124,plant_associated
rspc_1-step,378282,R,0.0014850726315747942,plant_associated
rspc_1-step,70876924,S,0.2782510932124888,plant_associated
rspc_1-step,26108298,U,0.10249686428854383,plant_associated
rspc_R100,263731,C,0.0010353643318948616,plant_associated
rspc_R100,149077,D,0.0005852516712327723,plant_associated
rspc_R100,1548808,F,0.006080364311186083,plant_associated
rspc_R100,118484722,G,0.4651514423153835,plant_associated
rspc_R100,0,K,0.0,plant_associated
rspc_R100,655467,O,0.002573255144575834,plant_associated
rspc_R100,267349,P,0.0010495680021224633,plant_associated
rspc_R100,19006,R,7.461441579485817e-05,plant_associated
rspc_R100,104330725,S,0.4095851886419554,plant_associated
rspc_R100,29004010,U,0.11386495116585417,plant_associated
std_1-step,3443080,C,0.013516963208195322,plant_associated
std_1-step,1646242,D,0.006462874096967216,plant_associated
std_1-step,4054779,F,0.015918392416198003,plant_associated
std_1-step,116487158,G,0.4573093360924624,plant_associated
std_1-step,0,K,0.0,plant_associated
std_1-step,2318899,O,0.00910361434138066,plant_associated
std_1-step,1535841,P,0.006029458011616898,plant_associated
std_1-step,170856,R,0.0006707524268676359,plant_associated
std_1-step,53531593,S,0.21015618953294324,plant_associated
std_1-step,71534447,U,0.28083241987336865,plant_associated
std_R100,705549,C,0.0027698688019386713,plant_associated
std_R100,408951,D,0.0016054740583880376,plant_associated
std_R100,2219518,F,0.008713460955286332,plant_associated
std_R100,110336777,G,0.433163956463356,plant_associated
std_R100,0,K,0.0,plant_associated
std_R100,964422,O,0.003786161428480938,plant_associated
std_R100,613689,P,0.0024092416192113397,plant_associated
std_R100,13645,R,5.3568015548818254e-05,plant_associated
std_R100,61539280,S,0.24159304565064715,plant_associated
std_R100,77921064,U,0.30590522300714273,plant_associated
rspc_1-step,531871,C,0.015956519339071874,Assorted_Genomes_mbarc_225
rspc_1-step,740327,D,0.022210351932587157,Assorted_Genomes_mbarc_225
rspc_1-step,3630885,F,0.10892920787267209,Assorted_Genomes_mbarc_225
rspc_1-step,15419952,G,0.4626098476802834,Assorted_Genomes_mbarc_225
rspc_1-step,5,K,1.5000366008930619e-07,Assorted_Genomes_mbarc_225
rspc_1-step,454293,O,0.013629122550590234,Assorted_Genomes_mbarc_225
rspc_1-step,276830,P,0.008305102644504526,Assorted_Genomes_mbarc_225
rspc_1-step,230696,R,0.006921048873592516,Assorted_Genomes_mbarc_225
rspc_1-step,11934889,S,0.35805540655191986,Assorted_Genomes_mbarc_225
rspc_1-step,112772,U,0.0033832425511182472,Assorted_Genomes_mbarc_225
rspc_R100,78998,C,0.0023699978279470017,Assorted_Genomes_mbarc_225
rspc_R100,75658,D,0.0022697953830073453,Assorted_Genomes_mbarc_225
rspc_R100,2656229,F,0.07968881440707153,Assorted_Genomes_mbarc_225
rspc_R100,3409732,G,0.10229445598472603,Assorted_Genomes_mbarc_225
rspc_R100,0,K,0.0,Assorted_Genomes_mbarc_225
rspc_R100,28371,O,0.0008511507680787411,Assorted_Genomes_mbarc_225
rspc_R100,18612,P,0.0005583736243164333,Assorted_Genomes_mbarc_225
rspc_R100,1735,R,5.205127005098924e-05,Assorted_Genomes_mbarc_225
rspc_R100,26553134,S,0.7966134573683598,Assorted_Genomes_mbarc_225
rspc_R100,510051,U,0.015301903366442141,Assorted_Genomes_mbarc_225
std_1-step,185800,C,0.005574136008918618,Assorted_Genomes_mbarc_225
std_1-step,87010,D,0.0026103636928741063,Assorted_Genomes_mbarc_225
std_1-step,3297804,F,0.09893653405143085,Assorted_Genomes_mbarc_225
std_1-step,13108918,G,0.3932771359621175,Assorted_Genomes_mbarc_225
std_1-step,0,K,0.0,Assorted_Genomes_mbarc_225
std_1-step,257228,O,0.00771702829549041,Assorted_Genomes_mbarc_225
std_1-step,54191,P,0.0016257696687799182,Assorted_Genomes_mbarc_225
std_1-step,181780,R,0.005453533066206815,Assorted_Genomes_mbarc_225
std_1-step,16031329,S,0.48095160521916736,Assorted_Genomes_mbarc_225
std_1-step,128460,U,0.0038538940350144545,Assorted_Genomes_mbarc_225
std_R100,76576,C,0.002297336054999742,Assorted_Genomes_mbarc_225
std_R100,28291,D,0.0008487507095173122,Assorted_Genomes_mbarc_225
std_R100,2662787,F,0.07988555920764466,Assorted_Genomes_mbarc_225
std_R100,3459242,G,0.10377979222693033,Assorted_Genomes_mbarc_225
std_R100,0,K,0.0,Assorted_Genomes_mbarc_225
std_R100,32182,O,0.0009654835577988103,Assorted_Genomes_mbarc_225
std_R100,11250,P,0.0003375082352009389,Assorted_Genomes_mbarc_225
std_R100,15848,R,0.00047545160101906486,Assorted_Genomes_mbarc_225
std_R100,26716552,S,0.8015161169932546,Assorted_Genomes_mbarc_225
std_R100,329792,U,0.009894001413634492,Assorted_Genomes_mbarc_225
rspc_1-step,495669,C,0.01487043685367718,Assorted_Genomes_225
rspc_1-step,694488,D,0.02083515400324926,Assorted_Genomes_225
rspc_1-step,3569149,F,0.10707711159234298,Assorted_Genomes_225
rspc_1-step,15448639,G,0.4634706038197962,Assorted_Genomes_225
rspc_1-step,3,K,9.000222035477615e-08,Assorted_Genomes_225
rspc_1-step,416950,O,0.012508808592307971,Assorted_Genomes_225
rspc_1-step,258244,P,0.007747511131099605,Assorted_Genomes_225
rspc_1-step,220137,R,0.006604272927413119,Assorted_Genomes_225
rspc_1-step,12135565,S,0.3640759317532363,Assorted_Genomes_225
rspc_1-step,93667,U,0.0028100793246569394,Assorted_Genomes_225
rspc_R100,75228,C,0.0022568956776163667,Assorted_Genomes_225
rspc_R100,70787,D,0.00212366239075118,Assorted_Genomes_225
rspc_R100,2608425,F,0.078254680542969,Assorted_Genomes_225
rspc_R100,3322133,G,0.09966644877129119,Assorted_Genomes_225
rspc_R100,0,K,0.0,Assorted_Genomes_225
rspc_R100,26013,O,0.000780409252696264,Assorted_Genomes_225
rspc_R100,17941,P,0.0005382432784616797,Assorted_Genomes_225
rspc_R100,1692,R,5.076125228009375e-05,Assorted_Genomes_225
rspc_R100,26753737,S,0.8026319109292426,Assorted_Genomes_225
rspc_R100,456555,U,0.013696987904691609,Assorted_Genomes_225
std_1-step,175626,C,0.005268909984009306,Assorted_Genomes_225
std_1-step,77104,D,0.00231317706607822,Assorted_Genomes_225
std_1-step,3214969,F,0.09645144945725811,Assorted_Genomes_225
std_1-step,13058128,G,0.39175350455895747,Assorted_Genomes_225
std_1-step,0,K,0.0,Assorted_Genomes_225
std_1-step,235727,O,0.007071984465856772,Assorted_Genomes_225
std_1-step,49739,P,0.0014922068127420703,Assorted_Genomes_225
std_1-step,176775,R,0.005303380834405185,Assorted_Genomes_225
std_1-step,16238985,S,0.4871815687693015,Assorted_Genomes_225
std_1-step,105458,U,0.003163818051391328,Assorted_Genomes_225
std_R100,71100,C,0.0021330526224081947,Assorted_Genomes_225
std_R100,26178,D,0.0007853593748157767,Assorted_Genomes_225
std_R100,2621529,F,0.07864781024147866,Assorted_Genomes_225
std_R100,4374362,G,0.13123409754518645,Assorted_Genomes_225
std_R100,0,K,0.0,Assorted_Genomes_225
std_R100,30387,O,0.0009116324899735277,Assorted_Genomes_225
std_R100,13688,P,0.0004106501307387253,Assorted_Genomes_225
std_R100,15555,R,0.00046666151253951435,Assorted_Genomes_225
std_R100,25881787,S,0.776472765583127,Assorted_Genomes_225
std_R100,297925,U,0.008937970499732228,Assorted_Genomes_225
rspc_1-step,258471,C,0.006978716064852048,Assorted_Genomes_Perfect_225
rspc_1-step,477879,D,0.01290273127103401,Assorted_Genomes_Perfect_225
rspc_1-step,2210855,F,0.05969307700112768,Assorted_Genomes_Perfect_225
rspc_1-step,12800150,G,0.3456040036890635,Assorted_Genomes_Perfect_225
rspc_1-step,0,K,0.0,Assorted_Genomes_Perfect_225
rspc_1-step,170177,O,0.004594778384299696,Assorted_Genomes_Perfect_225
rspc_1-step,164496,P,0.004441391404853552,Assorted_Genomes_Perfect_225
rspc_1-step,1569880,R,0.04238675432017492,Assorted_Genomes_Perfect_225
