classifier,In taxon,Group,ratio,dataset
rspc_gold,35251648,F,0.0574738579213133,strain
rspc_gold,138226266,G,0.2253624220086862,strain
rspc_gold,2708200,H,0.004415416323869473,strain
rspc_gold,430881356,S,0.7025037194200627,strain
rspc_gold,6283526,U,0.010244584326068331,strain
rspc_R100,201666983,F,0.3287953949943533,strain
rspc_R100,260395336,G,0.4245453870592557,strain
rspc_R100,19497274,H,0.03178811826695069,strain
rspc_R100,130223723,S,0.21231517328456412,strain
rspc_R100,1567680,U,0.0025559263948761895,strain
rspc_1-step,175601630,F,0.2862987606528644,strain
rspc_1-step,300765536,G,0.4903644698736252,strain
rspc_1-step,101947121,H,0.16621334548220087,strain
rspc_1-step,33856075,S,0.05519853268486418,strain
rspc_1-step,1180634,U,0.0019248913064453554,strain
std_gold,34528079,F,0.056294159828836406,strain
std_gold,57741043,G,0.09414029385549412,strain
std_gold,1228231,H,0.0020024928760366766,strain
std_gold,504297151,S,0.8221999381900409,strain
std_gold,15556492,U,0.025363115249591933,strain
std_R100,203082688,F,0.33110354319861574,strain
std_R100,176784566,G,0.2882274051120967,strain
std_R100,9801645,H,0.01598048273162012,strain
std_R100,217794337,S,0.3550892367019161,strain
std_R100,5887760,U,0.009599332255751322,strain
std_1-step,196200710,F,0.3198832500143197,strain
std_1-step,240511011,G,0.39212622555193505,strain
std_1-step,29144582,H,0.04751697183190031,strain
std_1-step,141778325,S,0.23115365577722155,strain
std_1-step,5716368,U,0.0093198968246234,strain
rspc_gold,209821,F,0.0014911413181905014,marine
rspc_gold,2543242,G,0.018074135707853108,marine
rspc_gold,427928,H,0.0030411690060128628,marine
rspc_gold,126272748,S,0.8973864003329362,marine
rspc_gold,11257941,U,0.08000715363500742,marine
rspc_R100,1205136,F,0.008564576870946321,marine
rspc_R100,21351572,G,0.15173986978195414,marine
rspc_R100,564713,H,0.004013263149157198,marine
rspc_R100,111602937,S,0.7931320058150112,marine
rspc_R100,5987322,U,0.04255028438293111,marine
rspc_1-step,2146780,F,0.015256587086445134,marine
rspc_1-step,38192460,G,0.27142352361936123,marine
rspc_1-step,2338290,H,0.016617597060883647,marine
