classifier,In taxon,Group,ratio,sample,dataset
rspc_1-step,296683,C,0.04834699060626233,S0,strain
rspc_1-step,197791,C,0.037953925522106094,S1,strain
rspc_1-step,235188,C,0.03722468236324217,S10,strain
rspc_1-step,307972,C,0.05029787870641693,S11,strain
rspc_1-step,283082,C,0.04406858448030246,S12,strain
rspc_1-step,288965,C,0.046725367735993305,S13,strain
rspc_1-step,238801,C,0.03783891275378348,S14,strain
rspc_1-step,235938,C,0.03949404211405562,S15,strain
rspc_1-step,239342,C,0.037350761670454924,S16,strain
rspc_1-step,242498,C,0.04174576190947551,S17,strain
rspc_1-step,278619,C,0.04650025184527988,S18,strain
rspc_1-step,237144,C,0.039259099227959345,S19,strain
rspc_1-step,222298,C,0.03644925629239027,S2,strain
rspc_1-step,247119,C,0.039342253196889415,S20,strain
rspc_1-step,375584,C,0.057304105367148674,S21,strain
rspc_1-step,269520,C,0.04450576261446586,S22,strain
rspc_1-step,189948,C,0.03131625097251214,S23,strain
rspc_1-step,290656,C,0.045697927292348756,S24,strain
rspc_1-step,183637,C,0.034831778010743705,S25,strain
rspc_1-step,212993,C,0.03582608672250001,S26,strain
rspc_1-step,243611,C,0.04005853280573344,S27,strain
rspc_1-step,240055,C,0.03744921334109602,S28,strain
rspc_1-step,288723,C,0.04634375013543271,S29,strain
rspc_1-step,300273,C,0.04636331043112337,S3,strain
rspc_1-step,301592,C,0.047709337388945505,S30,strain
rspc_1-step,242240,C,0.03772406645627526,S31,strain
rspc_1-step,255395,C,0.03993912994795926,S32,strain
rspc_1-step,258627,C,0.03954201489107511,S33,strain
rspc_1-step,203772,C,0.035100278635979046,S34,strain
rspc_1-step,234716,C,0.0380065460072125,S35,strain
rspc_1-step,264079,C,0.04187986896156784,S36,strain
rspc_1-step,231606,C,0.03721638307585438,S37,strain
rspc_1-step,215473,C,0.03602533424999064,S38,strain
rspc_1-step,299539,C,0.04666389575817322,S39,strain
rspc_1-step,229305,C,0.038250172021935404,S4,strain
rspc_1-step,250671,C,0.04021196902469962,S40,strain
rspc_1-step,263012,C,0.04313861592703444,S41,strain
rspc_1-step,202569,C,0.032795195043897406,S42,strain
rspc_1-step,277233,C,0.04308707308544119,S43,strain
rspc_1-step,223520,C,0.03814202340772154,S44,strain
rspc_1-step,417491,C,0.06533357224288337,S45,strain
rspc_1-step,264180,C,0.04098918328067071,S46,strain
rspc_1-step,266643,C,0.042666313784933414,S47,strain
rspc_1-step,219713,C,0.034353833556221326,S48,strain
rspc_1-step,216737,C,0.04371383559828619,S49,strain
rspc_1-step,269874,C,0.043716510882232024,S5,strain
rspc_1-step,289934,C,0.045003400082359445,S50,strain
rspc_1-step,217667,C,0.035526704071386694,S51,strain
rspc_1-step,255107,C,0.04123889825490371,S52,strain
rspc_1-step,229014,C,0.03633142322108667,S53,strain
