classifier_1,classifier_2,difference
kraken,rspc_gold,-0.3516799833699261
kraken,std_gold,-0.3574627744075981
rspc_1-step,kraken,-0.12015157241200183
rspc_1-step,rspc_R1,-0.09068000377675177
rspc_1-step,rspc_R10,-0.3660990920386105
rspc_1-step,rspc_R100,-0.43855619413303304
rspc_1-step,rspc_gold,-0.4718315557819279
rspc_1-step,std_1-step,-0.12310574696554573
rspc_1-step,std_R1,-0.19064095106179485
rspc_1-step,std_R10,-0.3473579271061661
rspc_1-step,std_R100,-0.41239710578210875
rspc_1-step,std_gold,-0.47761434681959997
rspc_R1,kraken,-0.02947156863525005
rspc_R1,rspc_gold,-0.38115155200517614
rspc_R1,std_1-step,-0.032425743188793966
rspc_R1,std_R1,-0.0999609472850431
rspc_R1,std_R10,-0.25667792332941436
rspc_R1,std_R100,-0.32171710200535697
rspc_R1,std_gold,-0.3869343430428482
rspc_R10,kraken,0.24594751962660868
rspc_R10,rspc_R1,0.27541908826185874
rspc_R10,rspc_gold,-0.10573246374331742
rspc_R10,std_1-step,0.24299334507306475
rspc_R10,std_R1,0.17545814097681564
rspc_R10,std_R10,0.01874116493244441
rspc_R10,std_R100,-0.046298013743498234
rspc_R10,std_gold,-0.11151525478098945
rspc_R100,kraken,0.3184046217210311
rspc_R100,rspc_R1,0.3478761903562812
rspc_R100,rspc_R10,0.07245710209442248
rspc_R100,rspc_gold,-0.03327536164889494
rspc_R100,std_1-step,0.31545044716748727
rspc_R100,std_R1,0.24791524307123813
rspc_R100,std_R10,0.09119826702686688
rspc_R100,std_R100,0.02615908835092424
rspc_R100,std_gold,-0.03905815268656696
rspc_gold,std_gold,-0.005782791037672019
std_1-step,kraken,0.0029541745535439146
std_1-step,rspc_gold,-0.34872580881638215
std_1-step,std_R1,-0.06753520409624914
std_1-step,std_R10,-0.22425218014062037
std_1-step,std_R100,-0.289291358816563
std_1-step,std_gold,-0.3545085998540542
std_R1,kraken,0.07048937864979306
std_R1,rspc_gold,-0.281190604720133
std_R1,std_gold,-0.28697339575780506
std_R10,kraken,0.22720635469416428
std_R10,rspc_gold,-0.12447362867576181
std_R10,std_R1,0.15671697604437124
std_R10,std_gold,-0.13025641971343385
std_R100,kraken,0.29224553337010695
std_R100,rspc_gold,-0.059434449999819186
std_R100,std_R1,0.22175615472031387
std_R100,std_R10,0.06503917867594264
std_R100,std_gold,-0.0652172410374912
