classifier_1,classifier_2,difference
kraken,rspc_gold,-0.35192966130905023
kraken,std_gold,-0.3578579853002374
rspc_1-step,kraken,-0.11978067098243797
rspc_1-step,rspc_R1,-0.11528306726656261
rspc_1-step,rspc_R10,-0.379056151743452
rspc_1-step,rspc_R100,-0.4385582767164117
rspc_1-step,rspc_gold,-0.47171033229148823
rspc_1-step,std_1-step,-0.12289630877444094
rspc_1-step,std_R1,-0.2420053295464785
rspc_1-step,std_R10,-0.3814823021297757
rspc_1-step,std_R100,-0.4434609761617388
rspc_1-step,std_gold,-0.47763865628267527
rspc_R1,kraken,-0.004497603715875331
rspc_R1,rspc_gold,-0.3564272650249256
rspc_R1,std_1-step,-0.007613241507878304
rspc_R1,std_R1,-0.12672226227991584
rspc_R1,std_R10,-0.26619923486321306
rspc_R1,std_R100,-0.3281779088951762
rspc_R1,std_gold,-0.36235558901611264
rspc_R10,kraken,0.25927548076101403
rspc_R10,rspc_R1,0.26377308447688935
rspc_R10,rspc_gold,-0.09265418054803623
rspc_R10,std_1-step,0.25615984296901106
rspc_R10,std_R1,0.1370508221969735
rspc_R10,std_R10,-0.002426150386323711
rspc_R10,std_R100,-0.06440482441828681
rspc_R10,std_gold,-0.09858250453922332
rspc_R100,kraken,0.31877760573397373
rspc_R100,rspc_R1,0.32327520944984905
rspc_R100,rspc_R10,0.05950212497295969
rspc_R100,rspc_gold,-0.033152055575076535
rspc_R100,std_1-step,0.3156619679419707
rspc_R100,std_R1,0.1965529471699332
rspc_R100,std_R10,0.05707597458663598
rspc_R100,std_R100,-0.004902699445327119
rspc_R100,std_gold,-0.03908037956626363
rspc_gold,std_gold,-0.005928323991187101
std_1-step,kraken,0.0031156377920029733
std_1-step,rspc_gold,-0.34881402351704727
std_1-step,std_R1,-0.11910902077203755
std_1-step,std_R10,-0.2585859933553348
std_1-step,std_R100,-0.32056466738729783
std_1-step,std_gold,-0.3547423475082344
std_R1,kraken,0.12222465856404052
std_R1,rspc_gold,-0.22970500274500974
std_R1,std_gold,-0.23563332673619683
std_R10,kraken,0.26170163114733774
std_R10,rspc_gold,-0.09022803016171252
std_R10,std_R1,0.13947697258329722
std_R10,std_gold,-0.09615635415289961
std_R100,kraken,0.3236803051793008
std_R100,rspc_gold,-0.028249356129749416
std_R100,std_R1,0.20145564661526033
std_R100,std_R10,0.061978674031963096
std_R100,std_gold,-0.03417768012093651
