classifier_1,classifier_2,difference
kraken,rspc_gold,-0.10792474079549845
kraken,std_gold,-0.07566973120821881
rspc_1-step,kraken,-0.13084008182850704
rspc_1-step,rspc_R1,-0.03275364008007327
rspc_1-step,rspc_R10,-0.07020677034007207
rspc_1-step,rspc_R100,-0.1341506397720162
rspc_1-step,rspc_gold,-0.23876482262400547
rspc_1-step,std_1-step,-0.13079428441108124
rspc_1-step,std_R1,-0.14800408205838017
rspc_1-step,std_R10,-0.15892293978327424
rspc_1-step,std_R100,-0.18379542970721968
rspc_1-step,std_gold,-0.20650981303672583
rspc_R1,kraken,-0.09808644174843377
rspc_R1,rspc_gold,-0.20601118254393222
rspc_R1,std_1-step,-0.09804064433100797
rspc_R1,std_R1,-0.11525044197830689
rspc_R1,std_R10,-0.12616929970320095
rspc_R1,std_R100,-0.15104178962714646
rspc_R1,std_gold,-0.17375617295665258
rspc_R10,kraken,-0.06063331148843497
rspc_R10,rspc_R1,0.0374531302599988
rspc_R10,rspc_gold,-0.16855805228393342
rspc_R10,std_1-step,-0.060587514071009166
rspc_R10,std_R1,-0.07779731171830809
rspc_R10,std_R10,-0.08871616944320215
rspc_R10,std_R100,-0.11358865936714764
rspc_R10,std_gold,-0.13630304269665378
rspc_R100,kraken,0.0033105579435091736
rspc_R100,rspc_R1,0.10139699969194296
rspc_R100,rspc_R10,0.06394386943194415
rspc_R100,rspc_gold,-0.10461418285198927
rspc_R100,std_1-step,0.0033563553609349817
rspc_R100,std_R1,-0.013853442286363949
rspc_R100,std_R10,-0.02477230001125801
rspc_R100,std_R100,-0.04964478993520349
rspc_R100,std_gold,-0.07235917326470963
rspc_gold,std_gold,0.032255009587279636
std_1-step,kraken,-4.5797417425808006e-05
std_1-step,rspc_gold,-0.10797053821292427
std_1-step,std_R1,-0.01720979764729893
std_1-step,std_R10,-0.02812865537219299
std_1-step,std_R100,-0.053001145296138474
std_1-step,std_gold,-0.07571552862564461
std_R1,kraken,0.017164000229873123
std_R1,rspc_gold,-0.09076074056562532
std_R1,std_gold,-0.05850573097834568
std_R10,kraken,0.02808285795476718
std_R10,rspc_gold,-0.07984188284073127
std_R10,std_R1,0.01091885772489406
std_R10,std_gold,-0.04758687325345162
std_R100,kraken,0.052955347878712665
std_R100,rspc_gold,-0.05496939291678578
std_R100,std_R1,0.035791347648839546
std_R100,std_R10,0.024872489923945484
std_R100,std_gold,-0.02271438332950614
