classifier_1,classifier_2,difference
kraken,rspc_gold,-0.5550726351847447
kraken,std_gold,-0.1452526159928773
rspc_1-step,kraken,0.07047313386647469
rspc_1-step,rspc_R1,-0.043572175417110406
rspc_1-step,rspc_R10,-0.08376286056347473
rspc_1-step,rspc_R100,-0.13102219656463493
rspc_1-step,rspc_gold,-0.48459950131827007
rspc_1-step,std_1-step,0.07050282165034179
rspc_1-step,std_R1,0.05901954173914128
rspc_1-step,std_R10,0.04984216002868809
rspc_1-step,std_R100,0.03960603895379602
rspc_1-step,std_gold,-0.0747794821264026
rspc_R1,kraken,0.1140453092835851
rspc_R1,rspc_gold,-0.4410273259011596
rspc_R1,std_1-step,0.1140749970674522
rspc_R1,std_R1,0.10259171715625168
rspc_R1,std_R10,0.0934143354457985
rspc_R1,std_R100,0.08317821437090642
rspc_R1,std_gold,-0.03120730670929221
rspc_R10,kraken,0.15423599442994945
rspc_R10,rspc_R1,0.040190685146364334
rspc_R10,rspc_gold,-0.4008366407547953
rspc_R10,std_1-step,0.15426568221381654
rspc_R10,std_R1,0.14278240230261602
rspc_R10,std_R10,0.13360502059216284
rspc_R10,std_R100,0.12336889951727074
rspc_R10,std_gold,0.008983378437072125
rspc_R100,kraken,0.20149533043110965
rspc_R100,rspc_R1,0.08745002114752454
rspc_R100,rspc_R10,0.04725933600116021
rspc_R100,rspc_gold,-0.3535773047536351
rspc_R100,std_1-step,0.20152501821497673
rspc_R100,std_R1,0.19004173830377621
rspc_R100,std_R10,0.18086435659332306
rspc_R100,std_R100,0.17062823551843095
rspc_R100,std_gold,0.05624271443823233
rspc_gold,std_gold,0.4098200191918674
std_1-step,kraken,-2.968778386709392e-05
std_1-step,rspc_gold,-0.5551023229686118
std_1-step,std_R1,-0.011483279911200515
std_1-step,std_R10,-0.020660661621653698
std_1-step,std_R100,-0.03089678269654577
std_1-step,std_gold,-0.1452823037767444
std_R1,kraken,0.011453592127333422
std_R1,rspc_gold,-0.5436190430574113
std_R1,std_gold,-0.1337990238655439
std_R10,kraken,0.020630973837786604
std_R10,rspc_gold,-0.5344416613469581
std_R10,std_R1,0.00917738171045318
std_R10,std_gold,-0.12462164215509071
std_R100,kraken,0.030867094912678677
std_R100,rspc_gold,-0.524205540272066
std_R100,std_R1,0.019413502785345257
std_R100,std_R10,0.010236121074892076
std_R100,std_gold,-0.11438552108019864
