classifier_1,classifier_2,difference
kraken,rspc_gold,-0.46931861478866815
kraken,std_gold,-0.5896241463070341
rspc_1-step,kraken,-0.17710376930005947
rspc_1-step,rspc_R1,-0.015208612587726105
rspc_1-step,rspc_R10,-0.07635031218906412
rspc_1-step,rspc_R100,-0.1570298705649476
rspc_1-step,rspc_gold,-0.6464223840887275
rspc_1-step,std_1-step,-0.17624355435047698
rspc_1-step,std_R1,-0.22922431146522165
rspc_1-step,std_R10,-0.2370604293437804
rspc_1-step,std_R100,-0.30008485154073516
rspc_1-step,std_gold,-0.7667279156070935
rspc_R1,kraken,-0.16189515671233337
rspc_R1,rspc_gold,-0.6312137715010016
rspc_R1,std_1-step,-0.16103494176275085
rspc_R1,std_R1,-0.21401569887749552
rspc_R1,std_R10,-0.2218518167560543
rspc_R1,std_R100,-0.28487623895300906
rspc_R1,std_gold,-0.7515193030193674
rspc_R10,kraken,-0.10075345711099537
rspc_R10,rspc_R1,0.061141699601338
rspc_R10,rspc_gold,-0.5700720718996635
rspc_R10,std_1-step,-0.09989324216141286
rspc_R10,std_R1,-0.15287399927615752
rspc_R10,std_R10,-0.1607101171547163
rspc_R10,std_R100,-0.22373453935167106
rspc_R10,std_gold,-0.6903776034180296
rspc_R100,kraken,-0.02007389873511188
rspc_R100,rspc_R1,0.14182125797722148
rspc_R100,rspc_R10,0.08067955837588349
rspc_R100,rspc_gold,-0.48939251352378
rspc_R100,std_1-step,-0.01921368378552937
rspc_R100,std_R1,-0.07219444090027405
rspc_R100,std_R10,-0.08003055877883282
rspc_R100,std_R100,-0.1430549809757876
rspc_R100,std_gold,-0.609698045042146
rspc_gold,std_gold,-0.12030553151836594
std_1-step,kraken,-0.0008602149495825132
std_1-step,rspc_gold,-0.47017882973825065
std_1-step,std_R1,-0.052980757114744675
std_1-step,std_R10,-0.06081687499330345
std_1-step,std_R100,-0.12384129719025821
std_1-step,std_gold,-0.5904843612566166
std_R1,kraken,0.05212054216516217
std_R1,rspc_gold,-0.417198072623506
std_R1,std_gold,-0.5375036041418719
std_R10,kraken,0.059956660043720945
std_R10,rspc_gold,-0.4093619547449472
std_R10,std_R1,0.007836117878558774
std_R10,std_gold,-0.5296674862633132
std_R100,kraken,0.12298108224067571
std_R100,rspc_gold,-0.34633753254799243
std_R100,std_R1,0.07086054007551353
std_R100,std_R10,0.06302442219695475
std_R100,std_gold,-0.46664306406635836
