classifier_1,classifier_2,difference
kraken2,rspc_1-step,0.00202433115623315
kraken2,rspc_R1,0.0009000837169340801
kraken2,rspc_R10,-0.004641128452427061
kraken2,rspc_R100,-0.00886255793566613
kraken2,rspc_gold,0.00150189786084709
kraken2,std_1-step,0.00167059219822608
kraken2,std_R1,0.00152619846347549
kraken2,std_R10,0.00141270553324898
kraken2,std_R100,-0.00410354539559479
kraken2,std_gold,0.0014920576131217098
rspc_1-step,rspc_R1,-0.0011242474392990699
rspc_1-step,rspc_R10,-0.006665459608660209
rspc_1-step,rspc_R100,-0.01088688909189928
rspc_1-step,rspc_gold,-0.0005224332953860601
rspc_1-step,std_1-step,-0.00035373895800707003
rspc_1-step,std_R1,-0.0004981326927576601
rspc_1-step,std_R10,-0.00061162562298417
rspc_1-step,std_R100,-0.00612787655182794
rspc_1-step,std_gold,-0.00053227354311144
rspc_R1,rspc_gold,0.0006018141439130099
rspc_R1,std_1-step,0.0007705084812919999
rspc_R1,std_R1,0.0006261147465414098
rspc_R1,std_R10,0.0005126218163149
rspc_R1,std_R100,-0.00500362911252887
rspc_R1,std_gold,0.0005919738961876299
rspc_R10,rspc_R1,0.00554121216936114
rspc_R10,rspc_gold,0.00614302631327415
rspc_R10,std_1-step,0.00631172065065314
rspc_R10,std_R1,0.006167326915902551
rspc_R10,std_R10,0.006053833985676041
rspc_R10,std_R100,0.00053758305683227
rspc_R10,std_gold,0.00613318606554877
rspc_R100,rspc_R1,0.009762641652600209
rspc_R100,rspc_R10,0.00422142948323907
rspc_R100,rspc_gold,0.01036445579651322
rspc_R100,std_1-step,0.01053315013389221
rspc_R100,std_R1,0.010388756399141618
rspc_R100,std_R10,0.01027526346891511
rspc_R100,std_R100,0.00475901254007134
rspc_R100,std_gold,0.010354615548787839
rspc_gold,std_1-step,0.00016869433737899
rspc_gold,std_R1,2.4300602628399975e-05
rspc_gold,std_R10,-8.919232759811e-05
rspc_gold,std_R100,-0.005605443256441881
rspc_gold,std_gold,-9.840247725380032e-06
std_1-step,std_R1,-0.00014439373475059003
std_1-step,std_R10,-0.0002578866649771
std_1-step,std_R100,-0.0057741375938208704
std_1-step,std_gold,-0.00017853458510437003
std_R1,std_gold,-3.414085035378001e-05
std_R10,std_R1,0.00011349293022650997
std_R10,std_gold,7.935207987272997e-05
std_R100,std_R1,0.005629743859070281
std_R100,std_R10,0.0055162509288437704
std_R100,std_gold,0.0055956030087165
