classifier_1,classifier_2,difference
rspc_1-step,kraken2,0.0
rspc_1-step,rspc_R1,0.0
rspc_1-step,rspc_R10,-0.0025253626234011998
rspc_1-step,rspc_R100,-0.01393502616367569
rspc_1-step,rspc_gold,0.0
rspc_1-step,std_1-step,0.0
rspc_1-step,std_R1,0.0
rspc_1-step,std_R10,-0.00257957858676928
rspc_1-step,std_R100,-0.005024696107097991
rspc_1-step,std_gold,0.0
rspc_R1,kraken2,0.0
rspc_R1,rspc_gold,0.0
rspc_R1,std_1-step,0.0
rspc_R1,std_R1,0.0
rspc_R1,std_R10,-0.00257957858676928
rspc_R1,std_R100,-0.005024696107097991
rspc_R1,std_gold,0.0
rspc_R10,kraken2,0.0025253626234011998
rspc_R10,rspc_R1,0.0025253626234011998
rspc_R10,rspc_gold,0.0025253626234011998
rspc_R10,std_1-step,0.0025253626234011998
rspc_R10,std_R1,0.0025253626234011998
rspc_R10,std_R10,-5.421596336807991e-05
rspc_R10,std_R100,-0.0024993334836967895
rspc_R10,std_gold,0.0025253626234011998
rspc_R100,kraken2,0.01393502616367569
rspc_R100,rspc_R1,0.01393502616367569
rspc_R100,rspc_R10,0.011409663540274489
rspc_R100,rspc_gold,0.01393502616367569
rspc_R100,std_1-step,0.01393502616367569
rspc_R100,std_R1,0.01393502616367569
rspc_R100,std_R10,0.01135544757690641
rspc_R100,std_R100,0.008910330056577698
rspc_R100,std_gold,0.01393502616367569
rspc_gold,kraken2,0.0
rspc_gold,std_1-step,0.0
rspc_gold,std_R1,0.0
rspc_gold,std_R10,-0.00257957858676928
rspc_gold,std_R100,-0.005024696107097991
rspc_gold,std_gold,0.0
std_1-step,kraken2,0.0
std_1-step,std_R1,0.0
std_1-step,std_R10,-0.00257957858676928
std_1-step,std_R100,-0.005024696107097991
std_1-step,std_gold,0.0
std_R1,kraken2,0.0
std_R1,std_gold,0.0
std_R10,kraken2,0.00257957858676928
std_R10,std_R1,0.00257957858676928
std_R10,std_gold,0.00257957858676928
std_R100,kraken2,0.005024696107097991
std_R100,std_R1,0.005024696107097991
std_R100,std_R10,0.00244511752032871
std_R100,std_gold,0.005024696107097991
std_gold,kraken2,0.0
