classifier_1,classifier_2,difference
rspc_1-step,kraken2,-0.0024387909645242805
rspc_1-step,rspc_R1,-0.00136986349953008
rspc_1-step,rspc_R10,-0.00689604302105771
rspc_1-step,rspc_R100,-0.01191864169710015
rspc_1-step,rspc_gold,-0.0006789471258181102
rspc_1-step,std_1-step,-0.00047065183041077014
rspc_1-step,std_R1,-0.0006517364558022002
rspc_1-step,std_R10,-0.0023501440341847702
rspc_1-step,std_R100,-0.0065107437242704095
rspc_1-step,std_gold,-0.00069109742715476
rspc_R1,kraken2,-0.0010689274649942002
rspc_R1,rspc_gold,0.0006909163737119699
rspc_R1,std_1-step,0.0008992116691193101
rspc_R1,std_R1,0.00071812704372788
rspc_R1,std_R10,-0.00098028053465469
rspc_R1,std_R100,-0.005140880224740329
rspc_R1,std_gold,0.0006787660723753202
rspc_R10,kraken2,0.00445725205653343
rspc_R10,rspc_R1,0.00552617952152763
rspc_R10,rspc_gold,0.006217095895239599
rspc_R10,std_1-step,0.00642539119064694
rspc_R10,std_R1,0.00624430656525551
rspc_R10,std_R10,0.00454589898687294
rspc_R10,std_R100,0.00038529929678730017
rspc_R10,std_gold,0.00620494559390295
rspc_R100,kraken2,0.00947985073257587
rspc_R100,rspc_R1,0.01054877819757007
rspc_R100,rspc_R10,0.0050225986760424396
rspc_R100,rspc_gold,0.01123969457128204
rspc_R100,std_1-step,0.01144798986668938
rspc_R100,std_R1,0.011266905241297951
rspc_R100,std_R10,0.00956849766291538
rspc_R100,std_R100,0.00540789797282974
rspc_R100,std_gold,0.01122754426994539
rspc_gold,kraken2,-0.00175984383870617
rspc_gold,std_1-step,0.00020829529540734008
rspc_gold,std_R1,2.721067001591002e-05
rspc_gold,std_R10,-0.00167119690836666
rspc_gold,std_R100,-0.0058317965984523
rspc_gold,std_gold,-1.2150301336649781e-05
std_1-step,kraken2,-0.00196813913411351
std_1-step,std_R1,-0.00018108462539143008
std_1-step,std_R10,-0.001879492203774
std_1-step,std_R100,-0.00604009189385964
std_1-step,std_gold,-0.00022044559674398988
std_R1,kraken2,-0.0017870545087220802
std_R1,std_gold,-3.9360971352559804e-05
std_R10,kraken2,-8.864693033950992e-05
std_R10,std_R1,0.00169840757838257
std_R10,std_gold,0.00165904660703001
std_R100,kraken2,0.004071952759746129
std_R100,std_R1,0.00585900726846821
std_R100,std_R10,0.00416059969008564
std_R100,std_gold,0.00581964629711565
std_gold,kraken2,-0.0017476935373695202
