classifier_1,classifier_2,difference
kraken2,rspc_1-step,0.03891715601545616
kraken2,rspc_R1,0.036065056548406096
kraken2,rspc_R10,0.03490046754938611
kraken2,rspc_R100,0.03391575511502158
kraken2,rspc_gold,-0.0035164251788239497
kraken2,std_1-step,-4.177546377636815e-05
kraken2,std_R1,-0.001553100445990066
kraken2,std_R10,-0.002123174653271087
kraken2,std_R100,-0.002847756345624007
kraken2,std_gold,-0.03843402250386595
rspc_1-step,rspc_R1,-0.0028520994670500613
rspc_1-step,rspc_R10,-0.004016688466070052
rspc_1-step,rspc_R100,-0.0050014009004345815
rspc_1-step,rspc_gold,-0.04243358119428011
rspc_1-step,std_1-step,-0.03895893147923253
rspc_1-step,std_R1,-0.04047025646144623
rspc_1-step,std_R10,-0.04104033066872725
rspc_1-step,std_R100,-0.04176491236108017
rspc_1-step,std_gold,-0.0773511785193221
rspc_R1,rspc_gold,-0.03958148172723005
rspc_R1,std_1-step,-0.03610683201218247
rspc_R1,std_R1,-0.03761815699439617
rspc_R1,std_R10,-0.038188231201677185
rspc_R1,std_R100,-0.038912812894030105
rspc_R1,std_gold,-0.07449907905227204
rspc_R10,rspc_R1,0.0011645889990199907
rspc_R10,rspc_gold,-0.03841689272821006
rspc_R10,std_1-step,-0.034942243013162476
rspc_R10,std_R1,-0.03645356799537618
rspc_R10,std_R10,-0.0370236422026572
rspc_R10,std_R100,-0.03774822389501012
rspc_R10,std_gold,-0.07333449005325206
rspc_R100,rspc_R1,0.00214930143338452
rspc_R100,rspc_R10,0.0009847124343645292
rspc_R100,rspc_gold,-0.03743218029384553
rspc_R100,std_1-step,-0.033957530578797954
rspc_R100,std_R1,-0.03546885556101165
rspc_R100,std_R10,-0.03603892976829267
rspc_R100,std_R100,-0.03676351146064559
rspc_R100,std_gold,-0.07234977761888753
rspc_gold,std_1-step,0.0034746497150475813
rspc_gold,std_R1,0.0019633247328338837
rspc_gold,std_R10,0.0013932505255528625
rspc_gold,std_R100,0.0006686688331999424
rspc_gold,std_gold,-0.034917597325042
std_1-step,std_R1,-0.0015113249822136978
std_1-step,std_R10,-0.002081399189494719
std_1-step,std_R100,-0.0028059808818476388
std_1-step,std_gold,-0.038392247040089575
std_R1,std_gold,-0.03688092205787588
std_R10,std_R1,0.0005700742072810211
std_R10,std_gold,-0.036310847850594866
std_R100,std_R1,0.0012946558996339412
std_R100,std_R10,0.00072458169235292
std_R100,std_gold,-0.03558626615824194
