classifier_1,classifier_2,difference
kraken2,rspc_1-step,0.17907799850552067
kraken2,rspc_R1,0.17179331555647614
kraken2,rspc_R10,0.17006997441077035
kraken2,rspc_R100,0.16778397353862134
kraken2,rspc_gold,0.10885515139303947
kraken2,std_1-step,-0.000125531486249085
kraken2,std_R1,-0.010314645771002932
kraken2,std_R10,-0.01916193320430042
kraken2,std_R100,-0.025237336825455047
kraken2,std_gold,-0.24243170290279942
rspc_1-step,rspc_R1,-0.007284682949044519
rspc_1-step,rspc_R10,-0.009008024094750317
rspc_1-step,rspc_R100,-0.011294024966899328
rspc_1-step,rspc_gold,-0.0702228471124812
rspc_1-step,std_1-step,-0.17920352999176975
rspc_1-step,std_R1,-0.1893926442765236
rspc_1-step,std_R10,-0.19823993170982107
rspc_1-step,std_R100,-0.20431533533097573
rspc_1-step,std_gold,-0.42150970140832006
rspc_R1,rspc_gold,-0.06293816416343667
rspc_R1,std_1-step,-0.17191884704272523
rspc_R1,std_R1,-0.18210796132747908
rspc_R1,std_R10,-0.19095524876077657
rspc_R1,std_R100,-0.19703065238193118
rspc_R1,std_gold,-0.4142250184592756
rspc_R10,rspc_R1,0.0017233411457057979
rspc_R10,rspc_gold,-0.06121482301773088
rspc_R10,std_1-step,-0.17019550589701943
rspc_R10,std_R1,-0.1803846201817733
rspc_R10,std_R10,-0.18923190761507075
rspc_R10,std_R100,-0.1953073112362254
rspc_R10,std_gold,-0.41250167731356974
rspc_R100,rspc_R1,0.004009342017854809
rspc_R100,rspc_R10,0.0022860008721490104
rspc_R100,rspc_gold,-0.05892882214558187
rspc_R100,std_1-step,-0.1679095050248704
rspc_R100,std_R1,-0.17809861930962428
rspc_R100,std_R10,-0.18694590674292175
rspc_R100,std_R100,-0.19302131036407638
rspc_R100,std_gold,-0.41021567644142076
rspc_gold,std_1-step,-0.10898068287928855
rspc_gold,std_R1,-0.11916979716404238
rspc_gold,std_R10,-0.1280170845973399
rspc_gold,std_R100,-0.1340924882184945
rspc_gold,std_gold,-0.3512868542958389
std_1-step,std_R1,-0.010189114284753848
std_1-step,std_R10,-0.019036401718051335
std_1-step,std_R100,-0.025111805339205963
std_1-step,std_gold,-0.24230617141655034
std_R1,std_gold,-0.23211705713179648
std_R10,std_R1,0.008847287433297487
std_R10,std_gold,-0.22326976969849902
std_R100,std_R1,0.014922691054452115
std_R100,std_R10,0.006075403621154625
std_R100,std_gold,-0.21719436607734438
