classifier_1,classifier_2,difference
kraken2,rspc_1-step,0.007566427230250273
kraken2,rspc_R1,0.007159286964416012
kraken2,rspc_R10,0.007099704744895224
kraken2,rspc_R100,0.006999092491417647
kraken2,rspc_gold,0.00040793105645155106
kraken2,std_1-step,-3.220119727331413e-05
kraken2,std_R1,-0.00020857280207777743
kraken2,std_R10,-0.00024190584210130806
kraken2,std_R100,-0.000304829731530704
kraken2,std_gold,-0.018058678025044198
rspc_1-step,kraken2,-0.007155270479457157
rspc_1-step,rspc_R1,-0.00044237813429008296
rspc_1-step,rspc_R10,-0.000504937478244357
rspc_1-step,rspc_R100,-0.00062917164566083
rspc_1-step,rspc_gold,-0.008245457577703464
rspc_1-step,std_1-step,-0.00738969802372827
rspc_1-step,std_R1,-0.007568873066973958
rspc_1-step,std_R10,-0.007611183550938708
rspc_1-step,std_R100,-0.0076685904358521715
rspc_1-step,std_gold,-0.02333348051291254
rspc_R1,kraken2,-0.006679036353905598
rspc_R1,rspc_R10,-6.541971840997646e-05
rspc_R1,rspc_R100,-0.00021234945019911372
rspc_R1,rspc_gold,-0.007803079443413381
rspc_R1,std_1-step,-0.0069473198894381884
rspc_R1,std_R1,-0.007126494932683874
rspc_R1,std_R10,-0.007168805416648625
rspc_R1,std_R100,-0.00722621230156209
rspc_R1,std_gold,-0.022891102378622453
rspc_R10,kraken2,-0.006613616635495621
rspc_R10,rspc_R1,5.958221952078776e-05
rspc_R10,rspc_R100,-0.00014692973178913725
rspc_R10,rspc_gold,-0.0077405200994591075
rspc_R10,std_1-step,-0.006884760545483914
rspc_R10,std_R1,-0.007063935588729601
rspc_R10,std_R10,-0.007106246072694351
rspc_R10,std_R100,-0.007163652957607815
rspc_R10,std_gold,-0.02282854303466818
rspc_R100,kraken2,-0.006466686903706485
rspc_R100,rspc_R1,0.00016019447299836533
rspc_R100,rspc_R10,0.00010061225347757757
rspc_R100,rspc_gold,-0.007616285932042634
rspc_R100,std_1-step,-0.00676052637806744
rspc_R100,std_R1,-0.006939701421313128
rspc_R100,std_R10,-0.0069820119052778785
rspc_R100,std_R100,-0.007039418790191342
rspc_R100,std_gold,-0.022704308867251707
rspc_gold,kraken2,0.0021345225647430195
rspc_gold,std_1-step,0.0008557595539751932
rspc_gold,std_R1,0.000676584510729506
rspc_gold,std_R10,0.0006342740267647561
rspc_gold,std_R100,0.000576867141851292
rspc_gold,std_gold,-0.015088022935209073
std_1-step,kraken2,3.369048964424108e-05
std_1-step,std_R1,-0.00017917504324568707
std_1-step,std_R10,-0.00022148552721043712
std_1-step,std_R100,-0.0002788924121239011
std_1-step,std_gold,-0.01594378248918427
std_R1,kraken2,0.000215559032568751
std_R1,std_R10,-5.093587128082361e-05
std_R1,std_R100,-0.00010304210479662748
std_R1,std_gold,-0.01576460744593858
std_R10,kraken2,0.0002664949038495746
std_R10,std_R1,3.333304002353064e-05
std_R10,std_R100,-5.210623351580386e-05
std_R10,std_gold,-0.01572229696197383
std_R100,kraken2,0.00031860113736537847
std_R100,std_R1,9.625692945292656e-05
std_R100,std_R10,6.292388942939595e-05
std_R100,std_gold,-0.015664890077060366
std_gold,kraken2,0.013976452928029601
