classifier_1,classifier_2,difference
kraken2,rspc_1-step,-0.00012042300560002544
kraken2,rspc_R1,-0.0002022049055694042
kraken2,rspc_R10,-0.0007288386203678741
kraken2,rspc_R100,-0.001071326647545584
kraken2,rspc_gold,-9.798236199747194e-05
kraken2,std_1-step,-2.811069290356408e-05
kraken2,std_R1,-8.859208704562668e-05
kraken2,std_R10,-0.004749001288916173
kraken2,std_R100,-0.00019590399834224764
kraken2,std_gold,-7.500177973219415e-06
rspc_1-step,rspc_R1,-8.178189996937873e-05
rspc_1-step,rspc_R10,-0.0006084156147678488
rspc_1-step,rspc_R100,-0.0009509036419455587
rspc_1-step,rspc_gold,2.244064360255351e-05
rspc_1-step,std_1-step,9.231231269646137e-05
rspc_1-step,std_R1,3.183091855439876e-05
rspc_1-step,std_R10,-0.004628578283316148
rspc_1-step,std_R100,-7.54809927422222e-05
rspc_1-step,std_gold,0.00011292282762680604
rspc_R1,rspc_gold,0.00010422254357193225
rspc_R1,std_1-step,0.00017409421266584011
rspc_R1,std_R1,0.0001136128185237775
rspc_R1,std_R10,-0.004546796383346769
rspc_R1,std_R100,6.300907227156533e-06
rspc_R1,std_gold,0.00019470472759618477
rspc_R10,rspc_R1,0.0005266337147984701
rspc_R10,rspc_gold,0.0006308562583704023
rspc_R10,std_1-step,0.0007007279274643102
rspc_R10,std_R1,0.0006402465333222475
rspc_R10,std_R10,-0.004020162668548299
rspc_R10,std_R100,0.0005329346220256265
rspc_R10,std_gold,0.0007213384423946547
rspc_R100,rspc_R1,0.00086912174197618
rspc_R100,rspc_R10,0.00034248802717771
rspc_R100,rspc_gold,0.0009733442855481122
rspc_R100,std_1-step,0.00104321595464202
rspc_R100,std_R1,0.0009827345604999575
rspc_R100,std_R10,-0.0036776746413705887
rspc_R100,std_R100,0.0008754226492033365
rspc_R100,std_gold,0.0010638264695723646
rspc_gold,std_1-step,6.987166909390785e-05
rspc_gold,std_R1,9.390274951845254e-06
rspc_gold,std_R10,-0.004651018926918702
rspc_gold,std_R100,-9.792163634477571e-05
rspc_gold,std_gold,9.048218402425253e-05
std_1-step,std_R1,-6.048139414206261e-05
std_1-step,std_R10,-0.00472089059601261
std_1-step,std_R100,-0.00016779330543868358
std_1-step,std_gold,2.0610514930344665e-05
std_R1,std_gold,8.109190907240726e-05
std_R10,std_R1,0.004660409201870547
std_R10,std_gold,0.004741501110942954
std_R100,std_R1,0.00010731191129662097
std_R100,std_R10,-0.004553097290573926
std_R100,std_gold,0.00018840382036902823
