classifier_1,classifier_2,difference
rspc_1-step,kraken2,9.186227988091492e-05
rspc_1-step,rspc_R1,-6.957157556772853e-05
rspc_1-step,rspc_R10,-0.0006352360367628892
rspc_1-step,rspc_R100,-0.0009915244949305492
rspc_1-step,rspc_gold,1.2270370723964645e-05
rspc_1-step,std_1-step,7.044175611279034e-05
rspc_1-step,std_R1,1.6080520437863095e-05
rspc_1-step,std_R10,-0.004627107185680154
rspc_1-step,std_R100,-7.512104301920955e-05
rspc_1-step,std_gold,8.487212428842365e-05
rspc_R1,kraken2,0.00016143385544864345
rspc_R1,rspc_gold,8.184194629169318e-05
rspc_R1,std_1-step,0.00014001333168051885
rspc_R1,std_R1,8.565209600559162e-05
rspc_R1,std_R10,-0.004557535610112425
rspc_R1,std_R100,-5.549467451481022e-06
rspc_R1,std_gold,0.00015444369985615218
rspc_R10,kraken2,0.0007270983166438042
rspc_R10,rspc_R1,0.0005656644611951608
rspc_R10,rspc_gold,0.0006475064074868539
rspc_R10,std_1-step,0.0007056777928756796
rspc_R10,std_R1,0.0006513165572007524
rspc_R10,std_R10,-0.003991871148917264
rspc_R10,std_R100,0.0005601149937436797
rspc_R10,std_gold,0.0007201081610513129
rspc_R100,kraken2,0.001083386774811464
rspc_R100,rspc_R1,0.0009219529193628208
rspc_R100,rspc_R10,0.00035628845816765997
rspc_R100,rspc_gold,0.001003794865654514
rspc_R100,std_1-step,0.0010619662510433395
rspc_R100,std_R1,0.0010076050153684124
rspc_R100,std_R10,-0.003635582690749604
rspc_R100,std_R100,0.0009164034519113398
rspc_R100,std_gold,0.0010763966192189728
rspc_gold,kraken2,7.959190915695028e-05
rspc_gold,std_1-step,5.8171385388825686e-05
rspc_gold,std_R1,3.810149713898449e-06
rspc_gold,std_R10,-0.004639377556404118
rspc_gold,std_R100,-8.739141374317419e-05
rspc_gold,std_gold,7.260175356445901e-05
std_1-step,kraken2,2.1420523768124587e-05
std_1-step,std_R1,-5.436123567492724e-05
std_1-step,std_R10,-0.004697548941792944
std_1-step,std_R100,-0.0001455627991319999
std_1-step,std_gold,1.4430368175633324e-05
std_R1,kraken2,7.578175944305182e-05
std_R1,std_gold,6.879160385056056e-05
std_R10,kraken2,0.004718969465561068
std_R10,std_R1,0.0046431877061180165
std_R10,std_gold,0.0047119793099685775
std_R100,kraken2,0.00016698332290012444
std_R100,std_R1,9.120156345707265e-05
std_R100,std_R10,-0.004551986142660945
std_R100,std_gold,0.0001599931673076332
std_gold,kraken2,6.9901555924912624e-06
