classifier_1,classifier_2,difference
kraken2,rspc_1-step,0.0005489198655191596
kraken2,rspc_R1,-0.0007815529152817108
kraken2,rspc_R10,-0.0015650571541196705
kraken2,rspc_R100,-0.004368601494285451
kraken2,rspc_gold,0.01828397751972857
kraken2,std_1-step,1.8309141437699433e-06
kraken2,std_R1,-0.0004668321193495601
kraken2,std_R10,-0.0006073700613021801
kraken2,std_R100,-0.0012907562395343812
kraken2,std_gold,0.01764744539848011
rspc_1-step,rspc_R1,-0.0013304727808008704
rspc_1-step,rspc_R10,-0.00211397701963883
rspc_1-step,rspc_R100,-0.00491752135980461
rspc_1-step,rspc_gold,0.01773505765420941
rspc_1-step,std_1-step,-0.0005470889513753896
rspc_1-step,std_R1,-0.0010157519848687196
rspc_1-step,std_R10,-0.0011562899268213397
rspc_1-step,std_R100,-0.0018396761050535407
rspc_1-step,std_gold,0.01709852553296095
rspc_R1,rspc_gold,0.019065530435010282
rspc_R1,std_1-step,0.0007833838294254807
rspc_R1,std_R1,0.0003147207959321507
rspc_R1,std_R10,0.00017418285397953064
rspc_R1,std_R100,-0.0005092033242526702
rspc_R1,std_gold,0.01842899831376182
rspc_R10,rspc_R1,0.0007835042388379596
rspc_R10,rspc_gold,0.01984903467384824
rspc_R10,std_1-step,0.0015668880682634403
rspc_R10,std_R1,0.0010982250347701104
rspc_R10,std_R10,0.0009576870928174903
rspc_R10,std_R100,0.00027430091458528934
rspc_R10,std_gold,0.01921250255259978
rspc_R100,rspc_R1,0.0035870485790037397
rspc_R100,rspc_R10,0.00280354434016578
rspc_R100,rspc_gold,0.02265257901401402
rspc_R100,std_1-step,0.00437043240842922
rspc_R100,std_R1,0.00390176937493589
rspc_R100,std_R10,0.00376123143298327
rspc_R100,std_R100,0.0030778452547510693
rspc_R100,std_gold,0.02201604689276556
rspc_gold,std_1-step,-0.0182821466055848
rspc_gold,std_R1,-0.01875080963907813
rspc_gold,std_R10,-0.018891347581030747
rspc_gold,std_R100,-0.01957473375926295
rspc_gold,std_gold,-0.0006365321212484599
std_1-step,std_R1,-0.00046866303349333004
std_1-step,std_R10,-0.0006092009754459501
std_1-step,std_R100,-0.001292587153678151
std_1-step,std_gold,0.01764561448433634
std_R1,std_gold,0.01811427751782967
std_R10,std_R1,0.00014053794195262003
std_R10,std_gold,0.01825481545978229
std_R100,std_R1,0.0008239241201848209
std_R100,std_R10,0.0006833861782322009
std_R100,std_gold,0.01893820163801449
