classifier_1,classifier_2,difference
kraken2,rspc_1-step,0.011823376495630472
kraken2,rspc_R1,0.01151199862187696
kraken2,rspc_R10,0.0114170213864736
kraken2,rspc_R100,0.010844018940646993
kraken2,rspc_gold,0.013024019970012199
kraken2,std_1-step,1.2609574592851217e-06
kraken2,std_R1,-0.0007274220115008353
kraken2,std_R10,-0.0014709301575041539
kraken2,std_R100,-0.003594165321465057
kraken2,std_gold,0.011793638719649157
rspc_1-step,kraken2,-0.005891394076688637
rspc_1-step,rspc_R1,-0.00033026182988761185
rspc_1-step,rspc_R10,-0.000470419629260789
rspc_1-step,rspc_R100,-0.001359607644635195
rspc_1-step,rspc_gold,0.002214540670322995
rspc_1-step,std_1-step,-0.008796766590382879
rspc_1-step,std_R1,-0.009435138804944794
rspc_1-step,std_R10,-0.010004197745389229
rspc_1-step,std_R100,-0.012748143342633942
rspc_1-step,std_gold,0.0011473336551039092
rspc_R1,kraken2,-0.005542988837966303
rspc_R1,rspc_R10,-0.00018356657652064733
rspc_R1,rspc_R100,-0.0013765407273429375
rspc_R1,rspc_gold,0.0025448025002106065
rspc_R1,std_1-step,-0.008466504760495269
rspc_R1,std_R1,-0.009104876975057184
rspc_R1,std_R10,-0.009673935915501617
rspc_R1,std_R100,-0.01241788151274633
rspc_R1,std_gold,0.001477595484991521
rspc_R10,kraken2,-0.005359422261445655
rspc_R10,rspc_R1,9.497723540336124e-05
rspc_R10,rspc_R100,-0.00119297415082229
rspc_R10,rspc_gold,0.002684960299583784
rspc_R10,std_1-step,-0.00832634696112209
rspc_R10,std_R1,-0.008964719175684007
rspc_R10,std_R10,-0.009533778116128438
rspc_R10,std_R100,-0.012277723713373151
rspc_R10,std_gold,0.001617753284364698
rspc_R100,kraken2,-0.004166448110623364
rspc_R100,rspc_R1,0.0006679796812299695
rspc_R100,rspc_R10,0.0005730024458266081
rspc_R100,rspc_gold,0.00357414831495819
rspc_R100,std_1-step,-0.007437158945747685
rspc_R100,std_R1,-0.008075531160309601
rspc_R100,std_R10,-0.008644590100754032
rspc_R100,std_R100,-0.011388535697998747
rspc_R100,std_gold,0.0025069412997391037
rspc_gold,kraken2,-0.009080071268602262
rspc_gold,std_1-step,-0.011011307260705877
rspc_gold,std_R1,-0.011649679475267792
rspc_gold,std_R10,-0.012218738415712223
rspc_gold,std_R100,-0.014962684012956938
rspc_gold,std_gold,-0.0010672070152190861
std_1-step,kraken2,-1.3352988866806868e-06
std_1-step,std_R1,-0.0006383722145619151
std_1-step,std_R10,-0.0012074311550063482
std_1-step,std_R100,-0.003951376752251062
std_1-step,std_gold,0.009944100245486788
std_R1,kraken2,0.0005502677594887234
std_R1,std_R10,-0.00040145088020158255
std_R1,std_R100,-0.0037417653251111335
std_R1,std_gold,0.010582472460048705
std_R10,kraken2,0.000951718639690306
std_R10,std_R1,0.0007435081460033185
std_R10,std_R100,-0.003340314444909551
std_R10,std_gold,0.011151531400493138
std_R100,kraken2,0.004292033084599856
std_R100,std_R1,0.002866743309964222
std_R100,std_R10,0.0021232351639609037
std_R100,std_gold,0.01389547699773785
std_gold,kraken2,-0.008169639498913646
